region,attribute
Sweden,has the best educational system
Argentina,Decriminalizing abortion is bad for women
Venezuela,there is discrimination when hiring
United Kingdom,Has the best football players
Russia,Politicians manage the country better
Venezuela,poverty is common
Argentina,There is a career for software developers
China,those born there are smarter
Germany,have more decent job opportunities
Germany,make good use of money
Spain,are jokers
Bolivia,spend more money
United States,education of good quality
Nigeria,careers with math are more difficult
Colombia,people are uglier
Japan,people have more interest in the study
United States,speak better english
Germany,formal
Italy,Tecnological advances are good
Pakistan,against euthanasia
Pakistan,believe that ethanasia is against morality
Argentina,arrogant
Japan,smarter
United States,bigger amount of psychologist per capita
Greece,against euthanasia
Greece,believed that euthanasia is against religion
China,the best experts on software development
Japan,work hard
Japan,are disciplined
United States,intelligent in math
Argentina,less discriminated
Italy,higher education degrees
Argentina,more cosmetic treatments
China,less economic problems
France,cook elaborate dishes
France,enjoy cooking
Spain,support the death penalty
Argentina,vulgar cinema
China,are excellent cooks
Argentina,is less intellectually developed
United States,leads the world
China,poor quality toys
China,have poor quality toys
France,quality education
France,has quality education
Bolivia,xenophobic
Iran,terrorist
Japan,studious
Uruguay,few women hired
Russia,homosexuals responsible in caring for the environment
Peru,doesn't care of themselves
Peru,have children
Peru,doesn't care of themselves and have children
Argentina,steals
China,dirtiest people
Argentina,men don't cry
Bolivia,discriminated against
Peru,have greengroceries in Argentina
Bolivia,there are more thieves
Uruguay,there are more tieves
Argentina,teachers
Argentina,female teachers
Argentina,university teachers
Argentina,female university teachers
Argentina,outstanding
Argentina,mayority of Talleres' supporters
Bolivia,better at their job
United States,better at managing money
Argentina,worse at managing money
Colombia,dangerous
United Kingdom,best doctors
Mexico,more hardworking
Germany,manage money well
Argentina,teachers have more teaching strategies than European teachers
Bolivia,they don't like conflicts
Argentina,stand out in football
China,are the most ingenious
Bolivia,give better advice
Russia,manage money well
Argentina,journalists are exaggerated
Bolivia,manage money well
